Day,Date,Phase(s),Lessons Covered,Est. Study Time (hrs),Resources (links),Daily Task,Assignment,Cumulative Project,Project Application Task,Milestone
96,2026-10-25,P19: Capstone Projects,01 Terminal-Native Coding Agent (Part 6/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/01-terminal-native-coding-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
97,2026-10-26,P19: Capstone Projects,01 Terminal-Native Coding Agent (Part 7/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/01-terminal-native-coding-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
98,2026-10-27,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 1/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
99,2026-10-28,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 2/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
100,2026-10-29,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 3/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
101,2026-10-31,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 4/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
102,2026-11-01,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 5/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
103,2026-11-02,P19: Capstone Projects,02 RAG over Codebase (Cross-Repo Semantic Search) (Part 6/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/02-rag-over-codebase,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
104,2026-11-03,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 1/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
105,2026-11-04,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 2/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
106,2026-11-05,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 3/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
107,2026-11-07,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 4/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
108,2026-11-08,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 5/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
109,2026-11-09,P19: Capstone Projects,03 Real-Time Voice Assistant (ASR to LLM to TTS) (Part 6/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/03-realtime-voice-assistant,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
110,2026-11-10,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 1/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
111,2026-11-11,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 2/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
112,2026-11-12,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 3/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
113,2026-11-14,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 4/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
114,2026-11-15,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 5/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
115,2026-11-16,P19: Capstone Projects,04 Multimodal Document QA (Vision-First) (Part 6/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/04-multimodal-document-qa,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
116,2026-11-17,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 1/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
117,2026-11-18,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 2/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
118,2026-11-19,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 3/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
119,2026-11-21,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 4/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
120,2026-11-22,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 5/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
121,2026-11-23,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 6/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
122,2026-11-24,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 7/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
123,2026-11-25,P19: Capstone Projects,05 Autonomous Research Agent (AI-Scientist Class) (Part 8/8),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/05-autonomous-research-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
124,2026-11-26,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 1/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
125,2026-11-28,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 2/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
126,2026-11-29,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 3/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
127,2026-11-30,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 4/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
128,2026-12-01,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 5/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
129,2026-12-02,P19: Capstone Projects,06 DevOps Troubleshooting Agent for Kubernetes (Part 6/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/06-devops-troubleshooting-agent,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
130,2026-12-03,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 1/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
131,2026-12-05,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 2/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
132,2026-12-06,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 3/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
133,2026-12-07,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 4/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
134,2026-12-08,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 5/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
135,2026-12-09,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 6/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
136,2026-12-10,P19: Capstone Projects,07 End-to-End Fine-Tuning Pipeline (Part 7/7),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/07-end-to-end-fine-tuning-pipeline,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
137,2026-12-12,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 1/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
138,2026-12-13,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 2/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
139,2026-12-14,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 3/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
140,2026-12-15,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 4/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
141,2026-12-16,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 5/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
142,2026-12-17,P19: Capstone Projects,08 Production RAG Chatbot (Regulated Vertical) (Part 6/6),5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/19-capstone-projects/08-production-rag-chatbot,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Capstone Integration,"Adapt this capstone project's pattern into either CartQ or the Bengali AI agent eval harness, or keep it as a standalone portfolio repo if not directly applicable.",
